Strain,IFNB_Concentration,Replicate
ΔsecA2_MOI5,62.6456705273352,5
ΔsecA2_MOI5,65.0055883680481,5
ΔsecA2_MOI5,69.4444814493891,5
ΔsecA2_MOI10,115.968576023444,5
ΔsecA2_MOI10,109.956404381627,5
ΔsecA2_MOI10,113.889600782815,5
ΔsecA2_MOI10,102.399048439344,5
ΔsecA2_MOI10,99.730093738538,5
ΔsecA2_MOI10,99.2524913183938,5
ΔsecA2/secA2_MM,34.6075990388652,5
ΔsecA2/secA2_MM,33.8209597586275,5
ΔsecA2/secA2_MM,30.674402637677,5
ΔsecA2/secA2_MM,34.6075990388652,5
ΔsecA2/secA2_MM,33.9333367986615,5
ΔsecA2/secA2_MM,31.9667385980674,5
ΔsecA2/secA2_MT,34.0738080987039,5
ΔsecA2/secA2_MT,35.0852014590094,5
ΔsecA2/secA2_MT,31.5734189579486,5
ΔsecA2/secA2_MT,31.5172304379316,5
ΔsecA2/secA2_MT,32.697189358288,5
ΔsecA2/secA2_MT,29.1292183372102,5
ΔesxBA,9.57561337130325,5
ΔesxBA,7.35616683063278,5
ΔesxBA,7.66520369072614,5
ΔesxBA,8.73278557104864,5
ΔesxBA,11.2050804517955,5
ΔesxBA,8.14280611087042,5
WT-HK_MOI10,4.79958916986046,5
WT-HK_MOI10,2.80489670925788,5
WT-HK_MOI10,5.38956863003869,5
WT-HK_MOI10,5.24909732999626,5
WT-HK_MOI10,4.18151544967375,5
WT-HK_MOI10,5.64241697011507,5
Uninfected,7.44764121419994,6
Uninfected,0,6
Uninfected,2.74185793546269,6
WT,30.7804833046054,6
WT,21.8394950750047,6
WT,18.5062319192325,6
ΔsecA2_MOI1,18.4670170585763,6
ΔsecA2_MOI1,8.42801273060353,6
ΔsecA2_MOI1,7.6829303781368,6
ΔsecA2_MOI5,50.583987935958,6
ΔsecA2_MOI5,49.211467812993,6
ΔsecA2_MOI5,45.4468411900032,6
ΔsecA2_MOI10,84.8969910100838,6
ΔsecA2_MOI10,85.3675693379575,6
ΔsecA2_MOI10,80.857860362501,6
ΔsecA2/secA2_MM,23.0551557553451,6
ΔsecA2/secA2_MM,18.5062319192325,6
ΔsecA2/secA2_MM,20.0356114848221,6
ΔsecA2/secA2_MT,30.113830673451,6
ΔsecA2/secA2_MT,17.7611495667657,6
ΔsecA2/secA2_MT,9.17309508307026,6
ΔesxBA,64.230759444296,6
ΔesxBA,0,6
ΔesxBA,0,6
WT-HK_MOI10,0,6
WT-HK_MOI10,0,6
WT-HK_MOI10,0,6
Uninfected,10.7721054490626,7
Uninfected,5.89073958836386,7
Uninfected,10.2297314645405,7
WT,43.4230193172919,7
WT,40.7653867931337,7
WT,37.9450420736189,7
ΔsecA2_MOI1,31.9246908454238,7
ΔsecA2_MOI1,27.0433249847251,7
ΔsecA2_MOI1,26.7179005940118,7
ΔsecA2_MOI5,99.8841511060407,7
ΔsecA2_MOI5,87.734973852746,7
ΔsecA2_MOI5,85.2942909223967,7
ΔsecA2_MOI10,172.236840641286,7
ΔsecA2_MOI10,166.867338194518,7
ΔsecA2_MOI10,159.708001598826,7
ΔsecA2/secA2_MM,30.1890940949531,7
ΔsecA2/secA2_MM,27.5314615707949,7
ΔsecA2/secA2_MM,31.6535038531627,7
ΔsecA2/secA2_MT,37.2399558937402,7
ΔsecA2/secA2_MT,32.4670648299459,7
ΔsecA2/secA2_MT,31.3280794624495,7
ΔesxBA,17.660255052493,7
ΔesxBA,12.8873639886987,7
