Strain,Uptake,Replicate
ΔsecA2_MOI5,1034000,9
ΔsecA2_MOI5,894000,9
ΔsecA2_MOI10,2430000,9
ΔsecA2_MOI10,2140000,9
ΔsecA2_MOI10,2240000,9
ΔsecA2/secA2_MM,156000,9
ΔsecA2/secA2_MM,145000,9
ΔsecA2/secA2_MM,189000,9
ΔsecA2/secA2_MT,197000,9
ΔsecA2/secA2_MT,196000,9
ΔsecA2/secA2_MT,202000,9
ΔesxBA,212000,9
ΔesxBA,209000,9
ΔesxBA,254000,9
WT-HK_MOI10,0,9
WT-HK_MOI10,0,9
WT-HK_MOI10,0,9
Uninfected,0,10
Uninfected,0,10
Uninfected,0,10
WT,277000,10
WT,289000,10
WT,265000,10
ΔsecA2_MOI1,90000,10
ΔsecA2_MOI1,93000,10
ΔsecA2_MOI1,90000,10
ΔsecA2_MOI5,363000,10
ΔsecA2_MOI5,385000,10
ΔsecA2_MOI5,291000,10
ΔsecA2_MOI10,641000,10
ΔsecA2_MOI10,605000,10
ΔsecA2_MOI10,456000,10
ΔsecA2/secA2_MM,102000,10
ΔsecA2/secA2_MM,105000,10
ΔsecA2/secA2_MM,70000,10
ΔsecA2/secA2_MT,145000,10
ΔsecA2/secA2_MT,134000,10
ΔsecA2/secA2_MT,154000,10
ΔesxBA,76000,10
ΔesxBA,71000,10
ΔesxBA,68000,10
WT-HK_MOI10,0,10
WT-HK_MOI10,0,10
WT-HK_MOI10,0,10
