Strain,Time,Count
ΔsecA2,48,51000
ΔsecA2,48,63500
ΔsecA2,48,43000
ΔsecA2,48,134000
ΔsecA2,48,113500
ΔsecA2,48,105000
ΔsecA2,48,98500
ΔsecA2,48,126000
ΔsecA2,48,84500
ΔsecA2/secA2_MM,48,87500
ΔsecA2/secA2_MM,48,109000
ΔsecA2/secA2_MM,48,107000
ΔsecA2/secA2_MM,48,156000
ΔsecA2/secA2_MM,48,148000
ΔsecA2/secA2_MM,48,105500
ΔsecA2/secA2_MM,48,117500
ΔsecA2/secA2_MM,48,128500
ΔsecA2/secA2_MM,48,108500
ΔsecA2/secA2_MT,48,110500
ΔsecA2/secA2_MT,48,139500
ΔsecA2/secA2_MT,48,87500
ΔsecA2/secA2_MT,48,164000
ΔsecA2/secA2_MT,48,158000
ΔsecA2/secA2_MT,48,130000
ΔsecA2/secA2_MT,48,161000
ΔsecA2/secA2_MT,48,156000
ΔsecA2/secA2_MT,48,131000
ΔesxBA,48,4900
ΔesxBA,48,2500
ΔesxBA,48,6000
ΔesxBA,48,3000
ΔesxBA,48,2500
ΔesxBA,48,6000
ΔesxBA,48,6000
ΔesxBA,48,2500
ΔesxBA,48,5500
WT,96,3825000
WT,96,3360000
WT,96,3030000
WT,96,4180000
WT,96,4325000
WT,96,3640000
WT,96,4370000
WT,96,3990000
WT,96,4100000
ΔsecA2,96,835000
ΔsecA2,96,805000
ΔsecA2,96,720000
ΔsecA2,96,750000
ΔsecA2,96,990000
ΔsecA2,96,810000
ΔsecA2,96,1260000
ΔsecA2,96,1030000
ΔsecA2,96,855000
ΔsecA2/secA2_MM,96,2100000
ΔsecA2/secA2_MM,96,1425000
ΔsecA2/secA2_MM,96,1375000
ΔsecA2/secA2_MM,96,1975000
ΔsecA2/secA2_MM,96,1700000
ΔsecA2/secA2_MM,96,1520000
ΔsecA2/secA2_MM,96,1625000
ΔsecA2/secA2_MM,96,1670000
ΔsecA2/secA2_MM,96,1285000
ΔsecA2/secA2_MT,96,815000
ΔsecA2/secA2_MT,96,615000
ΔsecA2/secA2_MT,96,750000
ΔsecA2/secA2_MT,96,500000
ΔsecA2/secA2_MT,96,545000
ΔsecA2/secA2_MT,96,730000
ΔsecA2/secA2_MT,96,915000
ΔsecA2/secA2_MT,96,795000
ΔsecA2/secA2_MT,96,855000
ΔesxBA,96,17000
ΔesxBA,96,9500
ΔesxBA,96,8500
ΔesxBA,96,17500
ΔesxBA,96,18500
ΔesxBA,96,6500
ΔesxBA,96,4500
ΔesxBA,96,4000
ΔesxBA,96,5000
